URL,description,og_description,og_image,og_locale,og_site_name,og_title,og_type,og_url,robots,title
https://www.parasapo.tokyo/,パラリンピック、パラスポーツの総合サイト。最新ニュースから競技・選手の紹介、大会・イベントの日程、コラムを配信。日本財団パラリンピックサポートセンターが運営するWEBメディア。,パラリンピック、パラスポーツの総合サイト。最新ニュースから競技・選手の紹介、大会・イベントの日程、コラムを配信。日本財団パラリンピックサポートセンターが運営するWEBメディア。,,ja_JP,パラサポWEB,パラサポWEB | パラリンピック、パラスポーツの総合サイト,website,https://www.parasapo.tokyo/,noodp,パラサポWEB | パラリンピック、パラスポーツの総合サイト
https://www.parasapo.tokyo/sports/swimming,東京2020パラリンピック公式競技「水泳」の競技解説ページです。このページでは「水泳」のルールや観戦のポイントの他、パラリンピックなどの最新の大会・イベント情報、選手、フォトギャラリーなど競技の魅力をご紹介します。,東京2020パラリンピック公式競技「水泳」の競技解説ページです。このページでは「水泳」のルールや観戦のポイントの他、パラリンピックなどの最新の大会・イベント情報、選手、フォトギャラリーなど競技の魅力をご紹介します。,,ja_JP,パラサポWEB,【水泳とは】パラリンピックの競技ルール・観戦ポイント｜パラサポWEB,article,https://www.parasapo.tokyo/sports/swimming,noodp,【水泳とは】パラリンピックの競技ルール・観戦ポイント｜パラサポWEB
https://www.parasapo.tokyo/sports/judo,東京2020パラリンピック公式競技「柔道」の競技解説ページです。このページでは「柔道」のルールや観戦のポイントの他、パラリンピックなどの最新の大会・イベント情報、選手、フォトギャラリーなど競技の魅力をご紹介します。,東京2020パラリンピック公式競技「柔道」の競技解説ページです。このページでは「柔道」のルールや観戦のポイントの他、パラリンピックなどの最新の大会・イベント情報、選手、フォトギャラリーなど競技の魅力をご紹介します。,,ja_JP,パラサポWEB,【柔道とは】パラリンピックの競技ルール・観戦ポイント｜パラサポWEB,article,https://www.parasapo.tokyo/sports/judo,noodp,【柔道とは】パラリンピックの競技ルール・観戦ポイント｜パラサポWEB
https://www.parasapo.tokyo/sports/equestrian,東京2020パラリンピック公式競技「馬術」の競技解説ページです。パラリンピックなど大会のルールや観戦のポイント、最新の大会・イベント情報、選手、フォトギャラリーなど競技の魅力をご紹介します。,東京2020パラリンピック公式競技「馬術」の競技解説ページです。パラリンピックなど大会のルールや観戦のポイント、最新の大会・イベント情報、選手、フォトギャラリーなど競技の魅力をご紹介します。,,ja_JP,パラサポWEB,【馬術とは】パラリンピックの競技ルール・観戦ポイント｜パラサポWEB,article,https://www.parasapo.tokyo/sports/equestrian,noodp,【馬術とは】パラリンピックの競技ルール・観戦ポイント｜パラサポWEB
https://www.parasapo.tokyo/topics/63527,ベストボディジャパン2015の東京大会でみごとグランプリを受賞したライフスタイルモデルの栗原ジャスティーンさん。2020年７月に第１子を出産してからも美ボディに磨きをかけ、ＳＮＳのフォロワーは15万人を超える。そんな栗原さんに、産後フィットネスがもたらしてくれるメリットやその方法などについてお話を伺った。,ベストボディジャパン2015の東京大会でみごとグランプリを受賞したライフスタイルモデルの栗原ジャスティーンさん。2020年７月に第１子を出産してからも美ボディに磨きをかけ、ＳＮＳのフォロワーは15万人を超える。そんな栗原さんに、産後フィットネスがもたらしてくれるメリットやその方法などについてお話を伺った。,,ja_JP,パラサポWEB,痩せるだけじゃない、ママを助ける運動習慣！！ 栗原ジャスティーンが明かす産後フィットネスのメリット | パラサポWEB,article,https://www.parasapo.tokyo/topics/63527,noodp,痩せるだけじゃない、ママを助ける運動習慣！！ 栗原ジャスティーンが明かす産後フィットネスのメリット | パラサポWEB
https://www.parasapo.tokyo/topics/64094,サッカーの原点ともいえるストリートサッカーが注目を浴び、現在では世界大会が実施されるまでになっているのをご存知だろうか。今回は、ストリートサッカーの魅力と都市型スポーツのこれからについて、日本ストリートサッカー協会代表理事の畑中崇氏にお話を伺った。,サッカーの原点ともいえるストリートサッカーが注目を浴び、現在では世界大会が実施されるまでになっているのをご存知だろうか。今回は、ストリートサッカーの魅力と都市型スポーツのこれからについて、日本ストリートサッカー協会代表理事の畑中崇氏にお話を伺った。,,ja_JP,パラサポWEB,加熱する都市型スポーツ。ストリートサッカーが未来の一流選手を育てる？ | パラサポWEB,article,https://www.parasapo.tokyo/topics/64094,noodp,加熱する都市型スポーツ。ストリートサッカーが未来の一流選手を育てる？ | パラサポWEB
https://www.parasapo.tokyo/topics/64558,東京2020大会では、「史上最もイノベーティブで、世界にポジティブな改革をもたらす大会」をビジョンに掲げ、さまざまな取り組みが行われた。中でも注目されたのは「ロボットプロジェクト」。トヨタ自動車とパナソニックの方々に、ロボットの東京2020大会での活躍、その技術が未来の暮らしをどう変えていくのかお話を伺った。,東京2020大会では、「史上最もイノベーティブで、世界にポジティブな改革をもたらす大会」をビジョンに掲げ、さまざまな取り組みが行われた。中でも注目されたのは「ロボットプロジェクト」。トヨタ自動車とパナソニックの方々に、ロボットの東京2020大会での活躍、その技術が未来の暮らしをどう変えていくのかお話を伺った。,,ja_JP,パラサポWEB,東京2020大会で活躍した最新ロボットたち――私たちの未来の暮らしをどう変える？ | パラサポWEB,article,https://www.parasapo.tokyo/topics/64558,noodp,東京2020大会で活躍した最新ロボットたち――私たちの未来の暮らしをどう変える？ | パラサポWEB
https://www.parasapo.tokyo/topics/64658,東京2020オリンピック・パラリンピックをオフィシャルパートナーとしてサポートした凸版印刷。実は同社は1964年の東京オリパラにも深く関わっている。多様性への取り組みが企業にもたらすメリットや可能性について、同社のスポーツ事業開発室事業推進部の大川誠部長と、ダイバーシティ推進室の澤田千津子室長に伺った。,東京2020オリンピック・パラリンピックをオフィシャルパートナーとしてサポートした凸版印刷。実は同社は1964年の東京オリパラにも深く関わっている。多様性への取り組みが企業にもたらすメリットや可能性について、同社のスポーツ事業開発室事業推進部の大川誠部長と、ダイバーシティ推進室の澤田千津子室長に伺った。,,ja_JP,パラサポWEB,ダイバーシティ企業の先駆け、凸版印刷が未来へつなぐ東京2020レガシーとは | パラサポWEB,article,https://www.parasapo.tokyo/topics/64658,noodp,ダイバーシティ企業の先駆け、凸版印刷が未来へつなぐ東京2020レガシーとは | パラサポWEB
https://www.parasapo.tokyo/topics/64616,今年私たちは、世界中のトップアスリートがメダル獲得に向けてしのぎを削るオリンピック・パラリンピックの興奮をより身近に感じることができた。そんなトップアスリートのも、身体能力に恵まれているだけでは夢を実現することはできない。トップアスリートも実践する「夢体力」を身につけるメソッド「夢ノート」の使い方をご紹介する。,今年私たちは、世界中のトップアスリートがメダル獲得に向けてしのぎを削るオリンピック・パラリンピックの興奮をより身近に感じることができた。そんなトップアスリートのも、身体能力に恵まれているだけでは夢を実現することはできない。トップアスリートも実践する「夢体力」を身につけるメソッド「夢ノート」の使い方をご紹介する。,,ja_JP,パラサポWEB,ポジティブな日々の振り返りが効く！トップアスリート実践の目標達成メソッド「夢ノート」とは | パラサポWEB,article,https://www.parasapo.tokyo/topics/64616,noodp,ポジティブな日々の振り返りが効く！トップアスリート実践の目標達成メソッド「夢ノート」とは | パラサポWEB
https://www.parasapo.tokyo/sportsx?search-tags=diversity-inclusion,SPORTS X（スポーツエックス）では、スポーツの持つ力を「新しい時代を生きるヒント」として紹介します。常識を覆すイノベーティブな事例からアスリートが実践する健康管理法やエンタメ情報など独自のコンテンツをラインナップ。,SPORTS X（スポーツエックス）では、スポーツの持つ力を「新しい時代を生きるヒント」として紹介します。常識を覆すイノベーティブな事例からアスリートが実践する健康管理法やエンタメ情報など独自のコンテンツをラインナップ。,,ja_JP,パラサポWEB,SPORTS X | パラサポWEB,article,https://www.parasapo.tokyo/sportsx,noodp,SPORTS X | パラサポWEB
https://www.parasapo.tokyo/sportsx?search-tags=entertainment,SPORTS X（スポーツエックス）では、スポーツの持つ力を「新しい時代を生きるヒント」として紹介します。常識を覆すイノベーティブな事例からアスリートが実践する健康管理法やエンタメ情報など独自のコンテンツをラインナップ。,SPORTS X（スポーツエックス）では、スポーツの持つ力を「新しい時代を生きるヒント」として紹介します。常識を覆すイノベーティブな事例からアスリートが実践する健康管理法やエンタメ情報など独自のコンテンツをラインナップ。,,ja_JP,パラサポWEB,SPORTS X | パラサポWEB,article,https://www.parasapo.tokyo/sportsx,noodp,SPORTS X | パラサポWEB
